comments,
well as long as its not all woke and full of dei programming should be good im excited,well long woke full dei programming good im excited
calmly watches trailers theres something in the fookin woah my brain boo of woahwoahwoah,calmly watches trailers theres something fookin woah brain boo woahwoahwoah
jedi vs aliens would be a sick movie,jedi vs aliens would sick movie
the fk is the woah cat with tears of joy,fk woah cat tears joy
so are hollywood writers so pathetic these days that they have to go on developing addons to successful franchises rather than producing something new were probably going to have jurassic universe and world of aliens in the nottoodistant future,hollywood writers pathetic days go developing addons successful franchises rather producing something new probably going jurassic universe world aliens nottoodistant future
ive wished for years to see more of the engineers in the next alien movie looks like i might have to wait much longer,ive wished years see engineers next alien movie looks like might wait much longer
the same blowjob,blowjob
so wait youre telling me theres an alien on board this ship john romulus,wait youre telling theres alien board ship john romulus
everyone in the movie theater watching this trailer in the imax room getting tinnitus from this trailer an artillerymen in the theater this is my jam,everyone movie theater watching trailer imax room getting tinnitus trailer artillerymen theater jam
no sorry this just not cut the mustard its just wrong and kid actors no,sorry cut mustard wrong kid actors
worst case of heartburn ive ever seen,worst case heartburn ive ever seen
poster alien kraken,poster alien kraken
it somehow looked weird when the facehugger inserted his tentacles into the mouth of the victim or is it just my messed up imagination grinning face,somehow looked weird facehugger inserted tentacles mouth victim messed imagination grinning face
we all know how such a door design will end up mattering in the movie xd,know door design end mattering movie xd
to many youngsters might not be that exciting needed some actors who worked in aliens movies before would be much better,many youngsters might exciting needed actors worked aliens movies would much better
they really could improve the story telling in alien movies the actual lore is so much deeper and interesting than cheap jumpscares,really could improve story telling alien movies actual lore much deeper interesting cheap jumpscares
bro got violated by that facehugger,bro got violated facehugger
another reason for stranger things delay thank millie,another reason stranger things delay thank millie
bet i can guess the ending a woman is the only survivor,bet guess ending woman survivor
these actors are way too young for these roles they look like children lol,actors way young roles look like children lol
united colors of xenomorph,united colors xenomorph
looks like alien is the good guy in this one,looks like alien good guy one
ridley sold his brother to the drink,ridley sold brother drink
fede understood the assignment saluting face,fede understood assignment saluting face
ah so this is a teen horror film i did not know,ah teen horror film know
i was hoping that one of the newer movies would give alien isolation vibes,hoping one newer movies would give alien isolation vibes
aliens vs prey agaian face with crossed out eyes,aliens vs prey agaian face crossed eyes
what can i say the idea is disappointing,say idea disappointing
hopefully these actors are good and not destroying the legacy covenant lacked good acting and so did prometheus a l i e n was a top list of brilliant people all around,hopefully actors good destroying legacy covenant lacked good acting prometheus l e n top list brilliant people around
of course mixed blackwhite couple,course mixed blackwhite couple
seen the original alien with sigourney weaver thats all you need if you want more see it again,seen original alien sigourney weaver thats need want see
this looks like a high school train wreck,looks like high school train wreck
in space nobody can hear you scream but hell feel free to go loud anyway,space nobody hear scream hell feel free go loud anyway
astronaut i can t find any milk for my coffee astronaut in space noone can here use cream,astronaut find milk coffee astronaut space noone use cream
i just want the thing remastered or the thing already,want thing remastered thing already
netflix hay are you still watching someone else daughter,netflix hay still watching someone else daughter
running causes accidents please let me help you,running causes accidents please let help
am i going to go and see this,going go see
children in space,children space
where the hell is my covenant sequel dammit crying face,hell covenant sequel dammit crying face
oh boy finally a movie worth watching on the big screen,oh boy finally movie worth watching big screen
so theyre abandoning the prometheus storyline no lore just typical aliens killing humans i guess,theyre abandoning prometheus storyline lore typical aliens killing humans guess
sigh please dont be sht the entire aliens franchise fandom,sigh please dont sht entire aliens franchise fandom
faisehuggas,faisehuggas
finally a movie without hollywood stars to save itself but new talents new faces to what it seems to a great movie much appreciated thanks,finally movie without hollywood stars save new talents new faces seems great movie much appreciated thanks
is it a followup to the prometheus films,followup prometheus films
yeah lets do it,yeah lets
cant say it looks that good honestly looks like aliens may have gone the woke route pile of poo,cant say looks good honestly looks like aliens may gone woke route pile poo
i like it when trailers dont spoil the entire movie,like trailers dont spoil entire movie
some real cw level acting from that black guy,real cw level acting black guy
well im surprised it actually look like an alien movie a good one,well im surprised actually look like alien movie good one
when i was in the cinemas when the trailers were playing when i saw the chestbuster scene i felt like i was gonna puke its such a gnarly scene that i cant wait to watch when it comes out,cinemas trailers playing saw chestbuster scene felt like gon na puke gnarly scene cant wait watch comes
the actors are so,actors
i did not even know this was in the works this will get my butt to the theatre for sure deadpool twister now this yasss,even know works get butt theatre sure deadpool twister yasss
this looks promising indeed i hope they dont have destroyed it with to much blood,looks promising indeed hope dont destroyed much blood
