,comments,preprocessed comments,sentiment
0,well as long as its not all woke and full of dei programming should be good im excited,well long woke full dei programming good im excited,positive
1,calmly watches trailers theres something in the fookin woah my brain boo of woahwoahwoah,calmly watches trailers theres something fookin woah brain boo woahwoahwoah,positive
2,jedi vs aliens would be a sick movie,jedi vs aliens would sick movie,negative
3,the fk is the woah cat with tears of joy,fk woah cat tears joy,positive
4,so are hollywood writers so pathetic these days that they have to go on developing addons to successful franchises rather than producing something new were probably going to have jurassic universe and world of aliens in the nottoodistant future,hollywood writers pathetic days go developing addons successful franchises rather producing something new probably going jurassic universe world aliens nottoodistant future,negative
5,ive wished for years to see more of the engineers in the next alien movie looks like i might have to wait much longer,ive wished years see engineers next alien movie looks like might wait much longer,positive
6,the same blowjob,blowjob,neutral
7,so wait youre telling me theres an alien on board this ship john romulus,wait youre telling theres alien board ship john romulus,negative
8,everyone in the movie theater watching this trailer in the imax room getting tinnitus from this trailer an artillerymen in the theater this is my jam,everyone movie theater watching trailer imax room getting tinnitus trailer artillerymen theater jam,neutral
9,no sorry this just not cut the mustard its just wrong and kid actors no,sorry cut mustard wrong kid actors,negative
10,worst case of heartburn ive ever seen,worst case heartburn ive ever seen,negative
11,poster alien kraken,poster alien kraken,negative
12,it somehow looked weird when the facehugger inserted his tentacles into the mouth of the victim or is it just my messed up imagination grinning face,somehow looked weird facehugger inserted tentacles mouth victim messed imagination grinning face,negative
13,we all know how such a door design will end up mattering in the movie xd,know door design end mattering movie xd,neutral
14,to many youngsters might not be that exciting needed some actors who worked in aliens movies before would be much better,many youngsters might exciting needed actors worked aliens movies would much better,positive
15,they really could improve the story telling in alien movies the actual lore is so much deeper and interesting than cheap jumpscares,really could improve story telling alien movies actual lore much deeper interesting cheap jumpscares,positive
16,bro got violated by that facehugger,bro got violated facehugger,neutral
17,another reason for stranger things delay thank millie,another reason stranger things delay thank millie,neutral
18,bet i can guess the ending a woman is the only survivor,bet guess ending woman survivor,neutral
19,these actors are way too young for these roles they look like children lol,actors way young roles look like children lol,positive
20,united colors of xenomorph,united colors xenomorph,neutral
21,looks like alien is the good guy in this one,looks like alien good guy one,positive
22,ridley sold his brother to the drink,ridley sold brother drink,neutral
23,fede understood the assignment saluting face,fede understood assignment saluting face,neutral
24,ah so this is a teen horror film i did not know,ah teen horror film know,neutral
25,i was hoping that one of the newer movies would give alien isolation vibes,hoping one newer movies would give alien isolation vibes,negative
26,aliens vs prey agaian face with crossed out eyes,aliens vs prey agaian face crossed eyes,neutral
27,what can i say the idea is disappointing,say idea disappointing,negative
28,hopefully these actors are good and not destroying the legacy covenant lacked good acting and so did prometheus a l i e n was a top list of brilliant people all around,hopefully actors good destroying legacy covenant lacked good acting prometheus l e n top list brilliant people around,positive
29,of course mixed blackwhite couple,course mixed blackwhite couple,neutral
30,seen the original alien with sigourney weaver thats all you need if you want more see it again,seen original alien sigourney weaver thats need want see,positive
31,this looks like a high school train wreck,looks like high school train wreck,positive
32,in space nobody can hear you scream but hell feel free to go loud anyway,space nobody hear scream hell feel free go loud anyway,positive
33,astronaut i can t find any milk for my coffee astronaut in space noone can here use cream,astronaut find milk coffee astronaut space noone use cream,neutral
34,i just want the thing remastered or the thing already,want thing remastered thing already,neutral
